time,r,g,b,shutter,gain
2020-07-29T00:14:58Z,5,9,12,33243,7.53125
2020-07-29T00:25:05Z,4,5,4,33243,7.11328125
2020-07-29T00:35:12Z,8,7,11,33243,7.53125
2020-07-29T00:39:19Z,10,5,5,33243,7.53125
2020-07-29T00:49:27Z,8,3,4,33243,7.31640625
2020-07-29T00:59:34Z,4,3,3,33243,7.31640625
2020-07-29T01:09:41Z,5,2,2,33243,7.31640625
2020-07-29T01:19:48Z,3,2,2,33243,7.11328125
2020-07-29T01:29:55Z,2,2,2,33243,7.11328125
2020-07-29T01:40:02Z,2,2,2,33243,7.31640625
2020-07-29T01:50:08Z,2,1,2,33243,7.11328125
2020-07-29T02:00:15Z,2,1,2,33243,7.31640625
2020-07-29T02:10:22Z,2,2,3,33243,7.11328125
2020-07-29T02:20:29Z,2,2,3,33243,7.11328125
2020-07-29T02:30:37Z,2,2,5,33243,7.31640625
2020-07-29T02:40:44Z,2,3,8,33243,7.11328125
2020-07-29T02:50:51Z,2,4,12,33243,7.11328125
2020-07-29T03:00:58Z,5,8,22,33243,7.31640625
2020-07-29T03:11:04Z,10,17,43,33243,7.11328125
2020-07-29T03:21:11Z,20,28,64,33243,7.31640625
2020-07-29T03:31:17Z,27,44,92,33243,2.5859375
2020-07-29T03:41:22Z,35,48,95,33243,2.5859375
2020-07-29T03:51:26Z,66,85,148,33243,2.5859375
2020-07-29T04:01:32Z,125,141,202,33243,2.5859375
2020-07-29T04:11:36Z,164,161,211,33243,1.6640625
2020-07-29T04:21:41Z,163,164,203,33243,1.1640625
