time,r,g,b,m,p,y
2020-08-03T15:54:49Z,0,0,0,0,0,0
2020-08-03T17:35:52Z,0,0,0,0,0,0
2020-08-03T17:36:45Z,0,0,0,0,0,0
2020-08-03T17:46:54Z,0,0,0,0,0,0
2020-08-03T17:56:38Z,0,0,0,0,0,0
2020-08-03T17:57:43Z,0,0,0,0,0,0
2020-08-03T18:04:35Z,0,0,0,0,0,0
2020-08-03T18:05:31Z,0,0,0,0,0,0
2020-08-03T18:06:44Z,0,0,0,0,0,0
2020-08-03T18:16:54Z,0,0,0,0,0,0
2020-08-03T18:27:07Z,0,0,0,0,0,0
2020-08-03T18:37:19Z,0,0,0,0,0,0
2020-08-03T18:47:30Z,0,0,0,0,0,0
2020-08-03T18:57:41Z,0,0,0,0,0,0
2020-08-03T19:07:50Z,0,0,0,0,0,0
2020-08-03T19:18:02Z,0,0,0,0,0,0
2020-08-03T19:28:14Z,0,0,0,0,0,0
2020-08-03T19:38:25Z,0,0,0,0,0,0
2020-08-03T19:48:42Z,0,0,0,0,0,0
2020-08-03T19:58:54Z,0,0,0,0,0,0
2020-08-03T20:09:07Z,0,0,0,0,0,0
2020-08-03T20:19:18Z,0,0,0,0,0,0
2020-08-03T20:29:30Z,0,0,0,0,0,0
2020-08-03T20:39:41Z,0,0,0,0,0,0
2020-08-03T20:49:50Z,0,0,0,0,0,0
2020-08-03T20:52:18Z,0,0,0,0,0,0
2020-08-03T21:02:29Z,0,0,0,0,0,0
2020-08-03T21:12:41Z,0,0,0,0,0,0
2020-08-03T21:22:51Z,0,0,0,0,0,0
2020-08-03T21:33:01Z,0,0,0,0,0,0
2020-08-03T21:43:11Z,0,0,0,0,0,0
2020-08-03T21:53:22Z,0,0,0,0,0,0
2020-08-03T22:03:32Z,0,0,0,0,0,0
2020-08-03T22:13:42Z,0,0,0,0,0,0
2020-08-03T22:23:52Z,0,0,0,0,0,0
2020-08-03T22:34:03Z,0,0,0,0,0,0
2020-08-03T22:44:12Z,0,0,17,0,0,0
2020-08-03T22:54:22Z,0,0,99,0,0,0
2020-08-03T23:04:33Z,0,0,99,0,0,0
2020-08-03T23:14:44Z,0,0,99,0,0,0
2020-08-03T23:24:57Z,0,0,100,0,0,0
2020-08-03T23:35:10Z,0,0,76,0,0,0
2020-08-03T23:45:23Z,0,0,0,0,0,0
2020-08-03T23:55:33Z,0,0,0,0,0,0
2020-08-04T00:05:45Z,0,0,0,0,0,0
2020-08-04T00:15:55Z,0,0,0,0,0,0
2020-08-04T00:26:05Z,0,0,0,0,0,0
2020-08-04T00:36:17Z,0,0,0,0,0,0
